date,volume,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,target,target_binary,sentiment_score,gdp%change,unemloyment_rate,fed_rate,cpi%change
2024-02-08,52343600,479.4720240294317,70.56332240666006,6.634821947188414,6.069133525638884,0.5656884215495293,493.35383748008235,478.39835968017576,463.44288188026917,buy,buy,0.0,1.6,3.9,5.33,0.32622
2024-02-09,63979400,480.795471750215,72.79819741631594,6.937486112580871,6.242804043027282,0.6946820695535889,495.2573954582182,479.62144470214844,463.9854939460787,sell,sell,0.0,1.6,3.9,5.33,0.32622
2024-02-12,56502300,481.97225276098317,72.34636460878286,7.078281623891655,6.409899559200157,0.6683820646914986,496.74805239093536,480.81746063232424,464.8868688737131,sell,sell,0.0,1.6,3.9,5.33,0.32622
2024-02-13,113099200,482.3900797394758,59.807777537176726,6.566096501177697,6.441138947595665,0.12495755358203198,496.62432779754675,481.75999755859374,466.8956673196407,buy,buy,0.0,1.6,3.9,5.33,0.32622
2024-02-14,68387800,483.18905861287396,64.16067285485356,6.442570910718871,6.441425340220306,0.0011455704985650073,496.23456507065265,483.05346527099607,469.8723654713395,buy,buy,1.0,1.6,3.9,5.33,0.32622
2024-02-15,61683000,484.23444240011514,67.10043976850984,6.542498637516417,6.461639999679528,0.08085863783688829,496.6738056101343,484.3095275878906,471.9452495656469,sell,sell,0.0,1.6,3.9,5.33,0.32622
2024-02-16,75461200,484.9458879202307,63.052539770259955,6.349914665513779,6.439294932846379,-0.08938026733259985,497.1187386290979,485.15018157958986,473.1816245300818,sell,sell,0.0,1.6,3.9,5.33,0.32622
2024-02-20,71736700,485.3317671305807,58.84723426441362,5.910723008902437,6.333580548057591,-0.4228575391551539,497.0907079730437,485.80528259277344,474.51985721250315,buy,buy,0.0,1.6,3.9,5.33,0.32622
2024-02-21,59603800,485.72308285865785,59.325294694044985,5.534604366446047,6.1737853117352826,-0.6391809452892359,497.0903004691855,486.4131362915039,475.73597211382236,buy,buy,0.0,1.6,3.9,5.33,0.32622
2024-02-22,76402500,487.04181431817557,68.37292268708055,5.984877931370306,6.1360038356622875,-0.15112590429198125,498.86205078175857,487.5013595581055,476.1406683344524,sell,sell,0.0,1.6,3.9,5.33,0.32622
2024-02-23,61321800,488.26776887436864,68.62856779982214,6.296940010908031,6.168191070711437,0.12874894019659422,500.5599520781217,488.4768753051758,476.3937985322299,sell,sell,0.0,1.6,3.9,5.33,0.32622
2024-02-26,50386700,489.2025884123752,65.59448404093658,6.323613355796397,6.199275527728429,0.12433782806796767,501.47577718653065,489.391357421875,477.30693765721935,buy,buy,0.0,1.6,3.9,5.33,0.32622
2024-02-27,48854500,490.1364977516356,66.40282650401767,6.346257415779064,6.228671905338556,0.11758551044050769,502.62935762191194,490.16212005615233,477.69488249039273,buy,buy,0.0,1.6,3.9,5.33,0.32622
2024-02-28,56506600,490.9186552620825,65.22653169154644,6.2390679874607144,6.230751121762989,0.008316865697725717,503.4449028202199,490.9186096191406,478.39231641806134,buy,buy,-0.6486,1.6,3.9,5.33,0.32622
